Type,Agreement,Description,Year,Community,Also Known As,Name,Town,Source
,Agreement on Environmental Monitoring of the Pacific Northwest LNG Project (Lax Kw'alaams & Metlakatla),Other Liquefied Natural Gas Related Agreements,2017,Metlakatla First Nation,,Metlakatla,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/natural-gas-pipeline-benefits-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Gitga'at First Nation,,Gitga'at,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Haisla Nation,,Haisla,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Heiltsuk Nation,,Heiltsuk,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Kitasoo Indian Band,,Kitasoo/Xaixais,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Metlakatla First Nation,,Metlakatla,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Nuxalk Nation,,Nuxalk,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Coast First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2015,Wuikinuxv Nation,,Wuikinuxv,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Gwa'sala-'Nakwaxda'xw Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2018,Gwa'sala-'Nakwaxda'xw Nations,,Gwa’sala-’Nakwaxda’xw,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Haida Nation,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2019,Haida Nation,,Haida,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Kitselas First Nation,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2018,Kitselas First Nation,,Kitselas,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Nanwakolas First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2016,Da'anaxda'xw Awaetlala Nation,,Da'anaxda'xw Awaetlala,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Nanwakolas First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2016,K'omoks First Nation,,K'omoks,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Nanwakolas First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2016,Mamalikikulla-Qwe'Qwa'Sot'em First Nation,,Mamalilikulla-QweʼQwaʼSotʼEm,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
ABSA,Nanwakolas First Nations,"Atmospheric Benefit Sharing Agreements (ABSA) enable First Nations to sell carbon credits. Specifically, these agreements clarify First Nations ownership and the right to sell tonnes of carbon in local or international carbon markets. The agreements are in effect from the date that BC and each of the First Nations sign them, and continue until March 31, 2025.",2016,Tlowitsis First Nation,,Tlowitsis,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/atmospheric-benefit-sharing-agreements
Clean Energy,Box Canyon Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Squamish Nation,,Squamish,Squamish,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Cascade River (Long Lake) Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Nisga’a Nation,,Nisga'a,New Aiyansh,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Castle Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2017,Lheidli T'enneh,,Lheidli T'enneh,Prince George,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Castle Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2017,Simpcw,,Simpcw,North Thompson,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Castle Mountain Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Canim Lake Indian Band,,Canim Lake,Tsq'escen’,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Castle Mountain Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2016,Lhtako Dene First Nation,,Lhtako Dene,Quesnel,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Cranberry Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Splatsin First Nation,,Splatsin,Enderby,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Culliton Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Squamish Nation,,Squamish,Squamish,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Culliton Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Tsleil-Waututh Nation,,Tsleil-Waututh,North Vancouver,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Cypress Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Mowachaht/Muchalaht First Nation,,Mowachaht/Muchalaht,Gold River,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Forrest Kerr Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2013,Tahltan Central Council,,Tahltan,Dease Lake,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Gabion River Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2015,Gitga'at Nation,,Gitga'at,Prince Rupert,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Haa-ak-suuk Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2013,Tla-o-qui-aht First Nations,,Tla-o-qui-aht,Tofino,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Hunter Creek Hydro IPP,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2017,Peters Band,,Peters,Hope,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Jamie Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,​N’Quatqua First Nation,,​N’Quatqua,Anderson Lake,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Jamie Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,​T’it’q’et Nation,,​T’it’q’et,Lillooet,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Jamie Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Bridge River Indian Band,,Bridge River,Lillooet,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Jamie Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2015,Seton Lake Indian Band,,Seton Lake,northwest of Lillooet,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Jimmie Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Klahoose First Nation,,Klahoose,Cortez Island,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kokish River Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Namgis First Nation,,Namgis,Alert Bay,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kokish River Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Tlowitsis Nation,,Tlowitsis,Campbell River,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2015,Ashcroft Indian Band,,Ashcroft,Ashcroft,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Boston Bar First Nation,,Boston Bar,Fraser Canyon,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Kanaka Bar Indian Band,,Kanaka Bar,T'eqt'aqtn'mux,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2015,Nicomen Indian Band,,Nicomen,Lytton,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Shackan Indian Band,,Shackan,Merritt,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydro Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2014,Skuppah Indian Band,,Skuppah,Lytton,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
Clean Energy,Kwoiek Creek Hydroelectric Project,First Nations Clean Energy Business Fund Revenue-sharing Agreements are negotiated between B.C. and First Nations to provide revenue sharing opportunities for clean energy projects.,2016,Lower Nicola Indian Band,,Lower Nicola,,https://www2.gov.bc.ca/gov/content/environment/natural-resource-stewardship/consulting-with-first-nations/first-nations-negotiations/first-nations-clean-energy-business-fund-revenue-sharing-agreements
